idx,x,y,z,u,v,label
71,-1.0808259285202704,0.16761488768169142,0.56,0.13972469049324324,0.2765134830910781,
72,-1.0658326577835142,0.15779621200998387,0.56,0.14472244740549522,0.28960505065335485,
73,-1.0508393870467585,0.14797753633827634,0.56,0.1497202043177472,0.30269661821563154,
74,-1.0358461163100023,0.13815886066656882,0.56,0.1547179612299992,0.31578818577790824,
75,-1.0208528455732466,0.1283401849948613,0.56,0.15971571814225116,0.32887975334018493,
76,-1.0058595748364905,0.11852150932315375,0.56,0.16471347505450318,0.34197132090246163,
77,-0.9908663040997345,0.10870283365144623,0.56,0.16971123196675514,0.3550628884647384,
78,-0.9758730333629787,0.09888415797973871,0.56,0.1747089888790071,0.368154456027015,
79,-0.9608797626262227,0.08906548230803113,0.56,0.17970674579125911,0.3812460235892918,
80,-0.9458864918894667,0.07924680663632361,0.56,0.1847045027035111,0.3943375911515685,
81,-0.9308932211527108,0.06942813096461614,0.56,0.1897022596157631,0.40742915871384516,
82,-0.9158999504159548,0.05960945529290862,0.56,0.19470001652801505,0.42052072627612186,
83,-0.9009066796791989,0.04979077962120104,0.56,0.19969777344026704,0.4336122938383986,
84,-0.885913408942443,0.03997210394949352,0.56,0.20469553035251903,0.4467038614006753,
85,-0.8709201382056869,0.030153428277785943,0.56,0.20969328726477102,0.45979542896295206,
86,-0.855926867468931,0.020334752606078477,0.56,0.214691044177023,0.4728869965252287,
87,-0.8409335967321752,0.010516076934370955,0.56,0.21968880108927497,0.4859785640875054,
88,-0.8259403259954191,0.0006974012626634329,0.56,0.22468655800152695,0.4990701316497821,
89,-0.8109470552586632,-0.0091212744090442,0.56,0.22968431491377894,0.5121616992120589,
90,-0.7959537845219072,-0.018939950080751666,0.56,0.23468207182603093,0.5252532667743356,
91,-0.7809605137851513,-0.028758625752459133,0.56,0.2396798287382829,0.5383448343366122,
92,-0.7659672430483954,-0.03857730142416671,0.56,0.24467758565053488,0.551436401898889,
93,-0.7509739723116394,-0.048395977095874176,0.56,0.24967534256278687,0.5645279694611656,
94,-0.7359807015748834,-0.058214652767581754,0.56,0.25467309947503886,0.5776195370234424,
95,-0.7209874308381274,-0.06803332843928939,0.56,0.25967085638729087,0.5907111045857192,
96,-0.7059941601013715,-0.0778520041109968,0.56,0.26466861329954283,0.6038026721479958,
97,-0.6910008893646156,-0.08767067978270443,0.56,0.2696663702117948,0.6168942397102726,
98,-0.6760076186278596,-0.09748935545441184,0.56,0.2746641271240468,0.6299858072725492,
99,-0.6610143478911037,-0.10730803112611947,0.56,0.27966188403629877,0.643077374834826,
100,-0.6460210771543476,-0.117126706797827,0.56,0.2846596409485508,0.6561689423971027,
